iter	Passed	Remaining
909	3071	303
910	3074	300
911	3077	296
912	3080	293
913	3083	290
914	3086	286
915	3089	283
916	3092	279
917	3095	276
918	3098	273
919	3101	269
920	3105	266
921	3108	262
922	3111	259
923	3114	256
924	3117	252
925	3120	249
926	3123	245
927	3126	242
928	3129	239
929	3132	235
930	3136	232
931	3139	229
932	3142	225
933	3145	222
934	3148	218
935	3151	215
936	3154	212
937	3157	208
938	3160	205
939	3163	201
940	3166	198
941	3169	195
942	3172	191
943	3175	188
944	3178	184
945	3181	181
946	3184	178
947	3187	174
948	3189	171
949	3192	168
950	3195	164
951	3198	161
952	3202	157
953	3205	154
954	3207	151
955	3210	147
956	3213	144
957	3216	141
958	3219	137
959	3222	134
960	3225	130
961	3227	127
962	3231	124
963	3234	120
964	3237	117
965	3240	114
966	3243	110
967	3246	107
968	3248	103
969	3251	100
970	3254	97
971	3257	93
972	3260	90
973	3263	87
974	3266	83
975	3269	80
976	3272	77
977	3275	73
978	3278	70
979	3281	66
980	3284	63
981	3287	60
982	3290	56
983	3293	53
984	3296	50
985	3299	46
986	3302	43
987	3305	40
988	3308	36
989	3311	33
990	3314	30
991	3317	26
992	3320	23
993	3323	20
994	3326	16
995	3330	13
996	3333	10
997	3335	6
998	3339	3
999	3341	0
